ax,ay,az,gx,gy,gz,label
0.980225,-0.008301001,-0.751221,-7.740458,-43.74809,41.22901,10
1.01123,0.07104499,0.093506,-78.50381,1.564886,13.83969,0
0.9953609,0.000244,0.09375,-2.916031,0.21374,1.076336,0
1.664551,-0.365478,0.562256,106.4809,-50.50382,7.80916,10
0.993164,-0.000977,0.07983399,-2.694656,0.358779,0.984733,0
0.6921391,0.08544901,-0.138184,21.49618,18.45038,39.43512,0
0.549316,0.313721,-1.003418,9.603053,37.29771,-70.20612,1
0.995117,0.0,0.08178699,-2.80916,0.320611,0.435114,0
1.000488,0.003174,-0.023682,-2.70229,0.396947,0.839695,0
0.992432,0.003662,0.099121,-2.633588,0.458015,1.267176,0
1.167725,0.113281,-0.434814,-3.89313,-28.34351,-23.30534,10
0.721436,-0.267578,-0.206787,-48.57252,58.87023,63.75573,0
1.680908,-0.486328,0.707275,16.13741,21.59542,64.8855,10
0.881836,0.045654,-0.114258,39.92366,-55.8855,26.77863,0
0.997314,0.009766001,-0.018799,-2.801527,0.274809,0.992366,0
0.99707,-0.001709,0.069824,-3.061069,0.244275,0.9007629,0
1.267822,0.210938,0.382568,52.47328,-18.0,10.14504,10
1.080322,0.38501,0.458008,-13.59542,28.23664,22.74809,10
0.883789,-0.170654,0.6921391,88.34351,-73.59542,28.82443,1
0.89209,-0.463867,0.311279,48.21374,-71.44275,-7.732824,1
1.051025,-0.002197,0.209229,-57.45802,86.54962,26.25191,1
1.003906,0.01001,-0.019531,-2.862595,-0.358779,1.21374,0
1.011719,0.124268,0.04248,-37.23664,22.9084,9.351145,0
0.025146,0.423096,-0.802734,1.328244,90.66412,72.20612,0
0.9978029,0.008545,-0.025391,-2.709924,0.267176,0.717557,0
0.953857,0.381592,-0.689453,108.8397,-22.99237,109.6489,10
1.399902,0.115234,-0.73877,217.0382,-110.6107,-223.4962,10
0.993896,-0.06079101,0.421875,48.8855,-68.99236,9.297709,1
0.984863,0.00415,-0.098389,-4.938932,6.854962,-1.427481,0
1.669434,0.512695,-0.155762,28.9084,-6.312978,-29.80916,10
1.39331,-0.08300799,-0.210449,-1.381679,-5.57252,20.38168,10
0.989746,0.032959,0.32959,-43.9771,65.79389,20.37405,0
1.015869,0.051025,0.022949,-123.9389,-6.206106,48.96947,0
0.994141,0.010254,-0.020752,-3.091603,0.167939,1.053435,0
0.468994,0.067383,-0.390137,18.16031,83.08397,-63.47328,0
0.203125,0.330811,-0.9492189,33.69466,31.09924,6.038168,0
0.500244,-0.146973,-0.730225,16.31298,-12.80916,15.30534,0
0.82373,-0.139648,-0.527832,-48.78626,45.93893,-38.24427,0
1.055908,0.077881,0.217773,-2.793893,-7.091604,5.587786,1
1.528564,0.290283,0.030273,44.1832,-188.5343,-140.7023,10
1.103516,1.972168,-2.0,-34.74809,-11.50382,-121.687,10
1.401856,-0.686523,1.554443,64.96183,-66.77863,-8.10687,10
0.992676,0.005371,0.098877,-3.076336,0.29771,1.10687,0
1.003418,0.005371,-0.024902,-2.641221,-0.015267,0.992366,0
0.997559,0.001709,-0.022949,-3.053435,0.251908,1.08397,0
1.02417,0.226318,0.054688,10.16031,16.13741,-4.534352,1
0.996826,0.01123,-0.020508,-2.80916,0.137405,0.763359,0
0.814453,-0.112793,-0.782959,-43.89313,-61.58015,11.48855,1
1.36084,0.370117,0.457764,-11.87023,45.16794,37.63359,10
0.934326,-0.085205,-0.385986,-56.85496,34.32824,-33.09924,0
1.000977,0.003174,-0.027588,-2.778626,0.022901,0.572519,0
0.742432,0.399414,-0.379395,-4.251908,1.854962,1.358779,0
0.994629,0.006836,-0.016357,-2.931298,0.274809,0.816794,0
0.737305,0.030518,-1.099365,-4.671756,-11.12977,94.0687,10
0.998291,0.012695,-0.021973,-2.610687,0.045802,0.870229,0
0.48877,0.334961,-1.543945,-66.41222,10.9542,25.9771,10
0.997559,0.002197,0.106201,-2.610687,0.21374,1.122137,0
0.7702641,0.200439,-0.020752,-15.9313,17.19847,1.832061,0
0.996826,0.010986,-0.019531,-2.961832,0.137405,0.740458,0
0.99707,0.007812,-0.017822,-2.763359,0.183206,0.91603,0
1.861816,0.319336,0.301025,-5.862596,105.6412,106.9695,10
0.770996,0.010254,-0.983887,-13.67176,-31.51908,-21.29771,10
0.74292,0.080811,-0.813232,-23.74809,-38.43512,43.44275,1
1.267822,0.210938,0.382568,52.47328,-18.0,10.14504,10
0.967529,-0.071533,-0.129639,-51.84733,1.648855,-17.89313,0
1.055908,0.077881,0.217773,-2.793893,-7.091604,5.587786,1
-0.061035,0.023193,-0.334717,-35.70229,150.9924,171.0,0
1.29834,-0.239502,0.361328,56.03053,-31.76336,-33.92366,10
