ax,ay,az,gx,gy,gz,label
0.99707,0.016602,0.076172,-2.870229,0.06870199,1.022901,0
-0.614502,-0.633301,1.20752,90.12977,234.4962,-104.9466,1
1.001221,0.030518,0.074707,-2.931298,0.343511,0.854962,0
-0.742432,-2.0,1.999939,-250.1374,181.3969,-142.5191,10
0.366699,0.58374,-0.224365,-65.38931,108.9237,-26.48092,0
0.123535,-1.166992,0.201172,-75.12214,-136.0534,65.83206,1
0.07983399,-1.067871,0.179443,-56.20611,-101.4962,12.54962,1
0.124756,-0.473389,0.157227,168.5267,148.1756,2.389313,0
-0.447998,-1.301758,0.637207,-250.1374,-8.366412,-83.68702,10
-0.055908,-1.177734,-0.380859,118.7634,98.74046,45.87786,1
0.997559,0.021729,0.078613,-2.534351,0.19084,1.0,0
-0.083496,-0.716553,1.511475,41.64122,6.29771,-13.55725,10
0.125488,-0.907959,0.681885,-238.9084,-154.8015,-20.23664,1
1.001953,0.025635,0.082031,-2.877863,0.206107,1.114504,0
0.395996,-0.835693,-0.303711,-95.64123,78.771,5.717558,0
0.642334,-0.435547,0.102783,-150.6488,-108.0382,241.8092,0
-0.045898,-1.037109,0.581299,20.69466,-51.51145,-2.59542,1
-0.449707,-1.563476,-0.633057,-15.1374,-42.31298,40.15267,10
0.137451,-1.001709,0.652832,206.0,49.78626,-18.25191,1
0.998779,0.02002,0.076172,-2.541985,0.0,0.923664,0
1.002686,-0.01416,0.037354,-99.67175,28.16031,14.44275,0
-0.092285,-1.000977,0.481201,33.48855,26.47328,-3.465649,1
-0.113281,-0.882568,0.648438,97.43511,-90.70229,30.64886,1
-0.147705,-1.248047,-0.320801,111.8702,-118.2748,33.12214,1
0.998535,0.023193,0.067627,-2.641221,0.206107,0.946565,0
1.150879,-2.0,-0.409424,-20.68702,-250.1374,86.9313,10
-2.0,-0.420166,1.741699,250.1298,250.1298,114.9084,10
-0.614502,-0.633301,1.20752,90.12977,234.4962,-104.9466,1
-0.253662,-0.558106,0.812012,-250.1374,4.0,-91.61069,0
0.264404,-0.678711,0.157959,-250.1374,-250.1374,50.56488,0
1.00293,0.019775,0.077637,-2.648855,0.358779,0.984733,0
0.986084,0.032227,0.021484,-9.198473,-4.9771,-13.81679,0
0.9965819,-0.013428,0.075684,-2.78626,-0.145038,1.030534,0
1.001465,0.020752,0.073486,-2.908397,0.442748,1.053435,0
1.004394,-0.012695,0.075684,-2.603053,0.427481,0.938931,0
-0.08886701,-1.053223,0.246826,-3.572519,-44.70229,-2.763359,1
1.001709,0.022461,0.074951,-2.633588,0.229008,0.801527,0
-0.464355,-1.710205,1.171143,-225.626,21.09924,-87.61832,10
