ax,ay,az,gx,gy,gz,label
0.924316,0.112061,0.387695,-2.801527,0.282443,0.961832,0
0.906494,0.076172,0.441895,-1.969466,-0.061069,1.519084,0
0.929932,0.125732,0.396728,-3.366412,0.541985,0.091603,0
1.368408,0.027588,0.945557,34.74046,-31.93893,-85.99236,10
0.836182,0.335693,-0.185547,57.44275,-38.65649,19.53435,0
0.827393,0.8415529,0.35498,84.07634,-21.15267,30.06107,10
1.106201,-0.064697,0.055176,26.60305,-14.20611,14.67176,1
1.151367,0.322022,0.400391,-11.92366,87.57252,-41.54962,10
0.9040529,0.592285,0.297119,250.1298,79.65649,-119.9084,1
1.07666,0.67749,0.6984859,-7.198474,-26.24427,-16.43511,10
0.931152,0.120605,0.404541,-1.389313,1.923664,1.038168,0
0.898193,0.07666,0.460449,-1.770992,-0.229008,1.206107,0
1.005859,0.062744,-0.631836,-51.57252,-4.603054,35.74809,1
0.90918,0.073242,0.451416,-2.419847,-0.21374,0.328244,0
0.946045,0.110596,0.209961,35.03817,19.10687,1.91603,0
0.921387,0.113037,0.401367,-2.740458,0.274809,1.541985,0
1.227539,-0.206787,-0.070312,-32.65649,-32.32824,-62.03817,10
0.808106,0.371338,-0.602295,250.1298,48.58779,-82.42748,1
0.974365,-0.166504,-0.114502,-79.48855,14.73282,-20.33588,0
0.513672,0.331055,0.470703,-60.80153,-45.38168,22.22137,0
0.740967,0.369385,0.559814,-51.03817,-18.29771,19.45038,0
1.412109,0.746582,0.881836,-200.5649,-58.38931,63.43512,10
1.078369,0.158691,0.073486,-12.14504,3.0,47.0916,1
0.751709,-0.187988,-1.171875,-4.908396,-62.38931,29.58015,10
0.720459,0.488525,1.246826,-15.58015,-27.87023,22.94657,10
0.998047,-0.034912,0.066895,-2.717557,-0.267176,0.870229,0
0.8845221,0.028564,-1.136475,-106.8397,-84.74809,60.65649,10
0.955566,-0.04126,-0.416992,-102.771,-31.90076,-17.41221,0
0.994385,0.160645,0.430908,26.40458,23.83206,-57.69466,1
0.811035,0.06420899,-0.077637,41.74809,24.80916,-32.36641,0
0.932617,0.646728,0.793945,175.5038,57.99237,-40.89313,10
0.92041,0.118164,0.400879,-1.0,-0.229008,2.282443,0
0.9340819,0.123291,0.388672,-4.32061,0.183206,0.320611,0
0.931641,0.115479,0.4021,-3.496183,-0.396947,-0.175573,0
1.195312,-0.028564,0.119629,46.79389,-76.45038,4.610688,10
0.935791,0.10791,0.402344,-2.290076,0.030534,0.633588,0
0.9340819,0.123291,0.388672,-4.32061,0.183206,0.320611,0
1.068115,0.222168,-0.14209,-8.251908,17.12977,-18.61069,1
0.92749,0.089111,0.443359,-2.603053,1.030534,1.885496,0
1.050781,-0.060547,-0.297363,-41.34351,15.45038,19.35878,1
1.020996,0.354248,0.314209,49.94656,-7.564886,39.63359,1
0.901123,-0.14624,0.392822,-13.54198,-50.31298,4.80916,0
0.998047,-0.034912,0.066895,-2.717557,-0.267176,0.870229,0
0.939209,0.12915,0.392578,-2.572519,0.06870199,1.770992,0
1.118164,0.227051,0.285645,-91.31298,55.53435,-2.916031,1
0.976074,0.220947,0.509766,-43.83969,24.51145,-18.51145,1
0.679443,0.395752,0.105225,250.1298,7.954198,-103.0992,0
0.930908,0.123047,0.404053,-3.007634,0.267176,-0.839695,0
0.908691,0.093994,0.4646,-3.633588,-0.007634,3.282443,0
0.9279779,0.176758,0.171631,-98.771,-26.60305,-8.893129,0
0.922607,0.519287,1.196533,44.84733,61.29771,2.175573,10
1.224365,-0.138184,-0.229736,-1.320611,16.58015,-19.38931,10
0.9375,0.074219,0.156738,-15.98473,-16.83969,-6.38168,0
0.92334,0.119141,0.397705,-1.076336,0.083969,2.450382,0
0.931396,0.116211,0.390625,-3.89313,0.137405,0.778626,0
0.754394,0.237305,0.582275,117.3435,44.9313,-8.137404,0
0.708252,-0.132568,-1.215332,131.7176,2.770992,-2.442748,10
0.875,-0.221924,-1.014648,-53.29771,33.9771,22.31298,10
0.90918,0.073242,0.451416,-2.419847,-0.21374,0.328244,0
1.038818,0.171387,0.152344,-4.267176,4.763358,-10.46565,1
0.907715,0.087646,0.452148,-2.748092,0.465649,0.885496,0
0.707275,0.439941,0.84375,-77.16031,-9.480916,28.64122,1
0.75293,0.44751,1.130859,16.71756,9.229008,-11.79389,10
0.883057,0.306885,0.286377,-124.0763,-39.34351,-6.290076,0
0.663574,-0.04834,-1.181641,47.66412,27.06107,11.50382,10
1.083252,0.096191,-0.262695,9.992367,-31.35114,41.34351,1
1.085449,-0.599609,-0.606689,22.38931,-96.771,24.18321,10
1.047363,-0.168457,-0.544922,-52.09924,-34.20611,-7.946564,1
0.775391,0.44873,0.994141,-43.0687,64.65649,-91.50381,10
1.036621,-0.522705,-0.699951,-46.32061,-16.03053,-3.763359,10
0.8007811,0.888672,1.654053,250.1298,102.8321,-85.54962,10
0.942383,0.053711,-0.006592,10.23664,-16.10687,-15.08397,0
0.611572,0.583008,0.377197,33.70229,-39.58779,-5.564886,0
1.199219,0.006592,-0.426758,-103.771,-55.0916,-20.34351,10
0.913818,0.071533,0.449951,-3.59542,-0.083969,1.427481,0
0.764648,0.311035,1.27417,87.69466,44.47328,-25.03053,10
0.916748,0.08105499,0.395996,0.854962,-1.198473,1.755725,0
0.916748,0.076172,0.451172,-3.0,-0.389313,0.603053,0
0.949951,0.054199,-0.002197,56.96947,20.31298,9.458015,0
0.898193,0.07666,0.460449,-1.770992,-0.229008,1.206107,0
0.75293,0.545166,0.255127,41.68702,-27.70229,-5.70229,0
1.081787,0.125244,0.07373,14.42748,10.18321,13.58779,1
0.936768,0.112305,0.404053,-3.419847,-0.236641,-0.167939,0
0.769531,0.200684,0.620606,26.58779,80.45802,-9.183207,0
0.54126,0.665283,0.42627,56.90076,25.73282,-2.961832,0
0.806885,0.290039,0.198975,95.80153,-38.57252,23.14504,0
1.026123,-0.03833,0.084717,-2.427481,-0.137405,1.0,0
0.883057,0.086182,0.4375,1.29771,1.419847,4.053435,0
0.719727,0.452393,-0.306152,250.1298,76.40458,-136.5191,0
0.606689,0.395264,0.940186,-79.67939,48.47328,-19.74046,1
1.138672,0.500977,0.09082001,-193.5496,-147.687,148.9313,10
1.275391,0.27417,-0.107178,-12.8626,96.77863,26.82443,10
0.922119,0.121094,0.403564,-3.244275,0.229008,1.076336,0
1.065918,0.161865,0.153564,14.39695,8.473283,-1.160305,1
0.838379,0.330566,-0.783691,-183.9466,-59.47328,66.45038,1
0.726318,-0.248047,-0.658447,-38.38168,12.37405,5.259542,0
1.311279,0.594482,0.655762,-168.8168,-7.854962,8.717557,10
1.005859,0.062744,-0.631836,-51.57252,-4.603054,35.74809,1
1.062256,0.608643,0.638184,23.19847,8.045801,32.55725,10
0.773438,0.69873,1.077393,65.29008,-7.557252,4.847328,10
0.85083,0.268555,0.538818,-75.54962,2.458015,-20.74046,0
0.72876,0.24292,-0.016846,77.16031,-43.51145,41.06107,0
0.973633,0.092285,0.230957,53.57252,-14.77099,27.98473,0
1.087402,1.05835,1.999939,70.41985,164.5573,-136.1985,10
0.720459,0.488525,1.246826,-15.58015,-27.87023,22.94657,10
0.937256,0.116943,0.399902,-2.664122,0.328244,1.076336,0
0.66626,0.019287,-0.23877,117.9695,-20.21374,-27.51145,0
0.998047,-0.034912,0.066895,-2.717557,-0.267176,0.870229,0
1.007324,0.136475,0.257568,20.30534,8.045801,-4.015267,0
0.923828,0.110352,0.400635,-2.763359,0.244275,0.656489,0
0.875,-0.221924,-1.014648,-53.29771,33.9771,22.31298,10
0.712891,0.157227,-0.193115,5.38168,17.52672,11.59542,0
0.885742,0.224854,0.490967,84.69466,12.9542,4.832062,0
0.634522,0.169922,-0.290039,37.08397,-8.229008,39.68702,0
0.805908,0.306152,0.666748,-57.89313,3.19084,-1.625954,1
0.980225,-0.083984,-0.023438,-62.48092,12.54198,-29.45802,0
0.951904,0.105957,-0.431641,-55.83969,-0.10687,40.55725,1
1.081787,0.125244,0.07373,14.42748,10.18321,13.58779,1
0.91748,0.082275,0.431885,-2.687023,0.19084,0.343511,0
0.975586,0.402344,0.9375,1.007634,26.40458,-34.15267,10
0.828369,0.546143,0.502197,98.40458,-60.33588,73.03053,1
1.029541,-0.115479,-0.084717,-41.66412,55.73283,-11.83206,0
0.939941,-0.135986,-0.050049,-69.26717,33.98473,-36.61832,0
0.947998,0.178955,0.510498,30.33588,106.0687,-13.32061,1
0.841797,0.840576,1.338379,229.6031,94.54962,-114.8626,10
0.9365231,0.108398,0.402832,-2.717557,0.21374,1.374046,0
1.005859,0.062744,-0.631836,-51.57252,-4.603054,35.74809,1
1.079102,0.390625,0.900635,83.66412,89.32061,-6.496184,10
0.955566,-0.04126,-0.416992,-102.771,-31.90076,-17.41221,0
0.74292,-0.143066,-1.196533,-38.80153,-49.94656,36.25191,10
0.9228519,0.109131,0.39502,-1.664122,0.374046,1.877863,0
0.668457,-0.224609,-0.468262,43.05344,-9.946565,-18.18321,0
0.9179689,0.06933599,0.437256,-3.450382,-0.229008,1.198473,0
0.641602,0.501221,0.445068,3.770992,-1.679389,64.75572,0
0.836914,0.240234,0.009277,48.9313,19.45802,7.053436,0
0.555664,-0.668701,-1.424316,-210.542,-135.3664,63.96183,10
0.776367,0.275146,-0.727295,-204.4046,-34.75573,100.5802,1
0.952637,-0.042236,-0.16626,-44.47328,-13.67176,2.89313,0
0.844238,-0.519775,-1.222412,31.03053,23.70229,-84.35877,10
0.79834,0.60498,0.351562,-37.20611,-47.93893,-20.94657,1
0.9648439,0.137451,0.417236,-5.114504,-1.030534,3.045802,1
0.9365231,0.108398,0.402832,-2.717557,0.21374,1.374046,0
0.9040529,0.488037,1.185547,-5.442748,16.70992,-22.18321,10
1.062256,0.608643,0.638184,23.19847,8.045801,32.55725,10
0.900635,0.438721,0.818604,-2.770992,-5.396946,15.54962,10
1.019531,0.079102,0.079102,33.82443,9.572519,-9.297709,0
1.161865,0.424561,0.659424,22.57252,32.33588,-3.694656,10
0.932129,0.114746,0.397217,-3.816794,0.183206,1.335878,0
0.93042,0.125,0.393066,-2.671756,0.335878,0.755725,0
0.749512,0.230713,-0.432861,-28.14504,-26.89313,39.71756,0
1.147461,0.323486,0.56958,36.87786,23.01527,-12.58015,10
0.793213,0.225586,0.219727,-99.03817,10.23664,-4.961832,0
0.942383,0.053711,-0.006592,10.23664,-16.10687,-15.08397,0
0.536865,-0.150879,-1.180908,130.3282,13.16794,-43.09924,10
0.9335939,0.120605,0.395752,-2.603053,-0.343511,0.610687,0
1.118164,0.227051,0.285645,-91.31298,55.53435,-2.916031,1
0.970703,-0.230469,-0.342285,-28.23664,-17.31298,8.458015,1
0.793213,0.225586,0.219727,-99.03817,10.23664,-4.961832,0
0.933838,0.109375,0.401855,-3.175573,-0.290076,1.08397,0
0.892334,0.533203,0.772949,9.183207,7.664122,-7.19084,10
1.038818,-0.055664,-0.224854,104.3359,33.19847,-36.80153,1
0.923828,0.098877,0.455566,-6.778626,2.229008,-1.419847,0
0.9279779,0.123535,0.398682,-2.320611,-0.061069,0.969466,0
1.039795,0.060059,0.049561,73.96947,19.69466,11.19084,0
1.221191,0.369141,0.227051,22.17557,4.236642,-28.91603,10
0.849609,0.195068,-0.267334,117.4122,-64.77863,18.83969,0
1.03418,0.14917,0.415283,13.54198,-20.19084,2.763359,1
0.530762,-0.09863299,-1.144043,159.6031,-7.305344,-53.07634,10
0.9570311,0.001221,0.057617,46.25191,3.717557,-1.099237,0
0.769775,0.353272,0.321533,-6.847328,11.74046,1.717557,0
0.932129,0.118896,0.399658,-2.969466,0.274809,1.038168,0
0.893311,0.045898,-0.045166,127.8855,-70.13741,16.32061,0
0.914062,0.08178699,0.446533,-3.312977,0.137405,2.48855,0
1.10498,-0.131836,-0.634766,-69.15267,-30.42748,-4.72519,10
0.525879,-0.088379,-0.9172359,13.33588,-21.36641,20.68702,1
0.8532721,-0.045166,-0.566894,-60.43512,-89.93893,35.24427,0
0.856445,-0.342041,-0.475098,0.335878,27.03817,20.9771,0
0.992432,0.023438,-0.067871,-94.99236,-32.03053,-6.282442,0
